"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",51,5528,6350,7155,7385,6344,7939,6392,5712,6375,6984,8185,6813,8307,8400,7845,7353,8014,7754,5866,7817,7198,6164,3978
"B",49,6453,6640,6143,8011,7166,6101,6667,7912,6748,6990,7411,6278,7147,6926,8103,7112,7362,7820,6478,7490,6626,6671,5681
"C",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6682,7346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5659
"D",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7743,7376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4744
"E",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7356,8073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5594
"F",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6685,6929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2609
"G",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7354,7676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3226
"H",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7355,8130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5090
"I",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7654,8286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4423
"J",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8797,7856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4954
"K",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7602,7803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6801
"L",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7529,7414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7791
"M",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,6417,8011,8564,6900,NA,NA,NA,NA,NA,NA,NA,NA,NA,6428
"N",33,1738,3133,5605,6284,7641,8468,8250,6183,7927,8658,7324,7915,6781,7169,7574,6440,7638,7222,6596,5474,3813,1514,6374
"O",61,55,106,151,395,519,1476,5386,5541,7188,8619,7059,7928,5728,7946,7257,5734,1123,399,268,115,143,66,6285
"P",54,7699,7039,5865,7362,7983,7130,6822,7049,6706,6733,6875,7374,7541,7956,7173,7393,8444,7811,7030,6972,7053,7284,7422
