"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137240
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124760
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135720
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133960
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143000
"G",8160,11880,28920,92160,121800,133640,121040,100200,99120,61680,106080,110400,121560,115680,112400,119520,117120,84240,46040,19160,9080,148200
"H",144240,155600,127880,118720,109840,127000,99920,114680,108280,107280,116960,114000,109360,117400,113320,109400,126360,121360,116600,126360,144680,133720
"I",9680,12880,32680,74920,91400,112960,127880,149840,129920,108720,123680,107760,136560,123520,107760,114160,104120,82840,40600,18320,11800,147080
"J",10040,12480,36720,92120,128040,127880,138000,111680,86360,71920,135680,121760,138720,137840,124520,129480,106360,86320,37680,18200,11240,138560
"K",9360,10720,33400,102160,150560,79000,89920,76240,70840,53120,101360,114560,130720,137840,115160,113080,92480,81320,37800,20200,10040,124640
"L",8760,12760,50280,132280,110440,92360,70240,67240,60280,53760,100160,119400,132320,132160,116360,115360,106280,91960,41400,17360,8800,129160
"M",9720,14440,71400,98840,83800,61280,60360,54520,53920,59760,106720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135000
